Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
4512,56.06681853268087,-0.24853983731912876,74.84564372459252,61.13551433120429,55.31929303130306,61.101639351797616,55.45768683456731,61.072154151179035,41.35070169946667,29.53294542062639,21.929541055671194,29.79585596028288,26.436623592363517,30.30829351993765,58.82399802005055,-98.65609643704641,-77.60802815840928,-42.44950306644165,56.41756988173286,-21.524398103506556,57.315313929762496,-31.20539565121595,99.99999999999997,83.33333333690629,93.84614893097987
4513,56.06681853268087,0.5592146067364325,74.7541733474917,61.08306561647646,55.26511818752175,61.11475409380961,55.41703366684666,61.08526115790846,45.07249746581169,31.577292038540875,20.200387860825543,28.22081199504464,27.35771238630025,28.31089882635733,59.64026296677595,-98.65609643704641,-77.60802815840928,-42.11820028870324,50.17113518394841,-24.171494793099363,57.46716269771902,-33.322876634770495,99.99999999999997,83.33333333690629,93.84614893097987
4514,56.06681853268087,-1.7024978244030962,74.84564372459252,61.06995345390675,55.31929303130306,61.167213126319126,55.34927839471291,61.0590471229751,42.622315275199426,28.888189957543077,23.012281852611423,30.820399128947656,27.35771238630025,27.822405544503226,59.594884691302994,-98.65609643704641,-77.60802815840928,-39.04029070315291,51.22646890630729,-24.495944392224576,57.239389570663164,-31.487726445596763,99.99999999999997,83.33333333690629,93.84614893097987
4515,56.06681853268087,-3.678389455706977,74.78466347319198,61.10928996309889,55.26511818752175,61.167213126319126,55.444135771259766,61.072154151179035,39.25719160471708,29.863186029324808,23.981900449469578,32.288401269846176,27.35771238630025,28.679982627852,59.005390238689344,-98.65609643704641,-77.60802815840928,-48.13508604648355,56.930975466289894,-19.289300898839436,57.77086020875309,-44.44357305589568,99.99999999999997,83.33333333690629,93.84614893097987
4516,56.06681853268087,-1.752205779854478,74.79990854853088,61.122402147151604,55.292205609412406,61.15409836281995,55.53899314780659,61.111475192841795,44.79336278651175,29.863186029324808,22.62443439268651,30.009939608962313,26.53285675296462,30.0369083712567,60.06351146867779,-98.65609643704641,-77.60802815840928,-36.71048415281196,56.360524821974465,-29.795287766131953,57.64938121429101,-39.455728961871614,99.99999999999997,83.33333333690629,93.84614893097987
4517,56.06681853268087,0.29824779480651387,74.7694184228306,61.17485084039646,55.292205609412406,61.15409836281995,55.40348262574116,61.08526115790846,44.157556011349115,28.825286991819112,22.802197800786644,29.413563737656418,28.14132527513381,30.26487190041722,59.06585430331357,-98.65609643704641,-77.60802815840928,-37.971572101436514,56.90242440694122,-27.312990869665644,57.60382657892829,-36.17755468968625,99.99999999999997,83.33333333690629,93.84614893097987
4518,56.06681853268087,-3.2558717427499033,74.86088879993142,61.06995345390675,55.292205609412406,61.15409836281995,55.36282945802046,61.01972605983781,40.31170039882966,28.557949374609734,20.345830651678114,29.45943881238884,28.608743474114576,29.179331305693452,59.03562227100146,-98.65609643704641,-77.60802815840928,-40.94260981981125,53.208784931520185,-18.13570234104752,57.406423200487964,-36.22460983064917,99.99999999999997,83.33333333690629,93.84614893097987
4519,56.06681853268087,-5.19448241255526,74.8761338502928,61.096177800529176,55.31929303130306,61.07540984628645,55.45768683456731,61.098368186112396,42.312165608948405,30.61802169530759,22.996121530749107,29.45943881238884,29.777288960304418,28.061224487436604,59.594884691302994,-98.65609643704641,-77.60802815840928,-40.79298921276938,49.74329721239464,-25.18089353496428,57.664535723900585,-30.907379801281365,99.99999999999997,83.33333333690629,93.84614893097987
4520,56.06681853268087,-5.269044355912371,74.83039867423113,61.08306561647646,55.40055529697506,61.12786885730878,55.43058473015424,61.01972605983781,40.79243234086678,30.57084448389716,22.996121530749107,32.6248184177402,26.202914481611103,27.985236644383107,59.322826590349635,-98.65609643704641,-77.60802815840928,-46.04039758291704,50.65601826199186,-27.04004121100785,57.22420468391597,-40.47525682761365,99.99999999999997,83.33333333690629,93.84614893097987
4521,56.06681853268087,-5.977382868705092,74.86088879993142,61.10928996309889,55.33283673115341,61.140983599320776,55.444135771259766,61.098368186112396,41.16461193020503,32.1434187815867,20.41047188617324,29.21477178890575,27.591421497052664,30.438558396284435,59.06585430331357,-98.65609643704641,-77.60802815840928,-44.50144279014187,50.4420992528493,-26.025492479483823,57.28494418114697,-39.59689435906202,99.99999999999997,83.33333333690629,93.84614893097987
